"categoria","N","prop","dep_adm1","prov_adm2","dist_adm3"
"De 25 a 29 ",91,0.0665691294806145,"amazonas","chachapoyas","mariscal castilla"
"De 30 a 34 ",84,0.0614484272128749,"amazonas","chachapoyas","mariscal castilla"
"De 35 a 39 ",91,0.0665691294806145,"amazonas","chachapoyas","mariscal castilla"
"De 40 a 44 ",77,0.0563277249451353,"amazonas","chachapoyas","mariscal castilla"
"De 45 a 49 ",80,0.0585223116313094,"amazonas","chachapoyas","mariscal castilla"
"De 50 a 54 ",74,0.0541331382589612,"amazonas","chachapoyas","mariscal castilla"
"De 55 a 59 ",82,0.0599853694220922,"amazonas","chachapoyas","mariscal castilla"
"De 60 a 64 ",71,0.0519385515727871,"amazonas","chachapoyas","mariscal castilla"
"De 65 a 69 ",50,0.0365764447695684,"amazonas","chachapoyas","mariscal castilla"
"De 70 a 74 ",40,0.0292611558156547,"amazonas","chachapoyas","mariscal castilla"
"De 75 a 79 ",25,0.0182882223847842,"amazonas","chachapoyas","mariscal castilla"
"De 80 a 84 ",25,0.0182882223847842,"amazonas","chachapoyas","mariscal castilla"
"De 85 a 89 ",13,0.00950987564008778,"amazonas","chachapoyas","mariscal castilla"
"De 90 a 94 ",5,0.00365764447695684,"amazonas","chachapoyas","mariscal castilla"
"De 95 a más",1,0.000731528895391368,"amazonas","chachapoyas","mariscal castilla"
"De 0  a 4 ",165,0.0758272058823529,"amazonas","chachapoyas","molinopampa"
"De 5  a 9 ",214,0.0983455882352941,"amazonas","chachapoyas","molinopampa"
"De 10 a 14 ",246,0.113051470588235,"amazonas","chachapoyas","molinopampa"
"De 15 a 19 ",170,0.078125,"amazonas","chachapoyas","molinopampa"
"De 20 a 24 ",122,0.0560661764705882,"amazonas","chachapoyas","molinopampa"
"De 25 a 29 ",130,0.0597426470588235,"amazonas","chachapoyas","molinopampa"
"De 30 a 34 ",150,0.0689338235294118,"amazonas","chachapoyas","molinopampa"
"De 35 a 39 ",164,0.0753676470588235,"amazonas","chachapoyas","molinopampa"
"De 40 a 44 ",152,0.0698529411764706,"amazonas","chachapoyas","molinopampa"
"De 45 a 49 ",153,0.0703125,"amazonas","chachapoyas","molinopampa"
"De 50 a 54 ",149,0.0684742647058824,"amazonas","chachapoyas","molinopampa"
